MOF,kh_co2,kh_n2,kh_sel,pq_co2,pq_n2
RSM2366,0.000569848,9.28E-06,61.40603448,5.840717121,0.786415307
RSM2369,8.02E-05,1.64E-06,48.90243902,4.295320752,0.159720022
RSM2378,9.50E-05,1.35E-06,70.37037037,1.621407054,0.120375026
RSM2388,5.63E-05,3.57E-06,15.77030812,5.455819378,0.343856179
RSM2400,4.10E-05,3.48E-06,11.7816092,3.960525274,0.333095354
RSM2401,0.000437933,5.20E-06,84.21788462,4.773311105,0.459918047
RSM2422,0.000305274,3.08E-06,99.11493506,0.951111781,0.241582924
RSM2423,6.40E-05,2.89E-06,22.14532872,1.327077704,0.235929475
RSM2424,0.000139622,7.19E-06,19.41891516,1.75801881,0.546457194
RSM2425,5.96E-05,2.85E-06,20.9122807,1.365433239,0.236543624
RSM2428,0.00028424,7.94E-06,35.79848866,3.655659696,0.617958975
RSM2430,0.00013285,7.36E-06,18.05027174,1.757864809,0.560396323
RSM2434,0.000119438,7.85E-06,15.21503185,1.703892721,0.589592483
RSM2454,5.44E-05,3.90E-06,13.94871795,3.632178421,0.367947297
RSM2459,0.000710698,3.53E-06,201.3308782,2.093890787,0.267336521
RSM2467,0.000243734,7.23E-06,33.71147994,3.301205215,0.603169727
RSM2469,5.87E-05,2.79E-06,21.03942652,3.319942974,0.26547655
RSM2476,5.41E-05,3.77E-06,14.35013263,3.084689093,0.350491996
RSM2477,0.000511501,4.53E-06,112.914128,6.247758042,0.429973743
RSM2481,0.000269997,4.45E-07,606.7348315,1.718356862,0.042230703
RSM2492,0.000359812,6.16E-06,58.41103896,4.145301155,0.54731552
RSM2497,3.77E-05,2.52E-06,14.96031746,1.936134669,0.2188529
RSM2509,0.000482627,3.03E-06,159.2828383,2.839410865,0.286391393
RSM2513,9.67E-05,2.98E-06,32.44966443,2.050588193,0.256996199
RSM2514,0.000126198,5.48E-06,23.02883212,1.511902369,0.378940266
RSM2517,4.85E-05,3.97E-06,12.21662469,3.416151479,0.359822677
RSM2518,3.75E-05,1.95E-06,19.23076923,1.976938875,0.18660925
RSM2523,7.60E-05,5.74E-06,13.24041812,5.735500192,0.537808615
RSM2529,7.67E-05,5.50E-07,139.4545455,0.778592031,0.052012681
RSM2531,0.000534474,1.24E-06,431.0274194,2.522840031,0.124669569
RSM2573,0.000268579,5.03E-06,53.39542744,1.438151185,0.353087295
RSM2581,0.000109705,1.79E-06,61.2877095,4.354183411,0.152522475
RSM2615,0.000173944,5.12E-06,33.9734375,2.286562847,0.415841888
RSM2620,8.12E-05,5.13E-06,15.82846004,5.25516881,0.480295618
RSM2622,0.000247416,4.78E-06,51.76066946,1.770394049,0.377216481
RSM2629,7.67E-05,1.12E-07,684.8214286,1.053894415,0.010561041
RSM2631,0.00154208,4.27E-06,361.1428571,2.060552205,0.302252075
RSM2636,0.00199975,4.86E-06,411.4711934,2.275239598,0.316159792
RSM2655,0.00126899,8.62E-06,147.2146172,2.800380429,0.574203232
RSM2666,0.000251869,4.27E-06,58.98571429,4.368465366,0.381551205
RSM2681,8.20E-05,4.26E-06,19.24882629,3.823413661,0.392698683
RSM2682,0.00026604,5.44E-06,48.90441176,5.808448289,0.505375087
RSM2700,0.000414654,4.28E-06,96.8817757,1.736620478,0.250092593
RSM2702,0.000161402,3.55E-06,45.46535211,5.513508189,0.337194847
