pk,homo_energy,lumo_energy,bandgap,label,path,potential,var,homo_align,lumo_align,homo_align_corr,lumo_align_corr,bandgap_corr,direct_band_gap_energy,direct_band_gap,band_gap_energy,band_gap_transition,vbm,cbm,effective_mass_hole,effective_mass_electron,cellopt_retrieved,spatial_overlap,spatial_overlap_corr,Unnamed: 0
139247,-4.68206378946341,-1.01477347801578,3.667288,07011N3_ddec.cif,9c737a9e-9791-4f5e-8db8-94d26a634e9f,1.5867097774747037,3.5306444152635274e-09,-6.268773566938114,-2.601483255490484,-7.077580595123211,-2.0671424407056302,5.369866616,3.66672942,False,3.66627618,\Gamma-R,-4.68215633,-1.01588015,12.6388091180364,4.328544107360319,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/aa/2e/1e2e-5a8c-40ee-8b6b-5354c6607c95/path,0.6881130337715149,0.6393558399647474,384.0
139201,-0.83005569875403,-0.1629282515124999,0.667127,13181N3_ddec.cif,2270f1d0-b462-4759-8bb4-52c7b53dc258,3.7371429905885183,0.0045052540225174,-4.567198689342549,-3.9000712421010175,-5.364945480823275,-3.39828602814049,1.748672289,0.66677059,True,0.66677059,X-X,-0.83116847,-0.16439788,7828.608130745119,114.5325113901313,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/b3/f0/04cc-8313-481d-9676-857f95cfe63e/path,0.6284063458442688,0.5733494993942976,385.0
125991,-2.65955832715108,-1.52552626707997,1.134032,18100N2_ddec.cif,be6b1039-ae98-448f-9338-8fda4e07f749,1.567211298346815,9.142906398031281e-08,-4.226769625497895,-3.092737565426785,-5.022303628063631,-2.5707124961920345,2.312226624,1.1345304699999998,True,1.1345304699999998,\Gamma-\Gamma,-2.66000494,-1.52547447,0.3770572305149751,0.13165428826139,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/bf/ae/7971-aea9-4839-a3ed-3f8a61b679c8/path,0.6542492508888245,0.6019190893501043,386.0
125997,-1.58334776881507,-0.68694850238712,0.896399,18112N2_ddec.cif,f933df32-e7c5-4be7-99cf-d138ea4f3dc4,2.8101514096177773,0.0004821072603192,-4.393499178432847,-3.4970999120048973,-5.190116923092661,-2.98521220679886,2.025403593,0.8965198600000001,True,0.8965198600000001,\Gamma-\Gamma,-1.58373822,-0.68721836,0.3354435114946049,0.3248948051456541,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/c9/98/20d4-5376-4185-ac85-5c4f70846b5c/path,0.7962274551391602,0.7588774139308929,387.0
126032,-0.79853945643223,1.06149191261691,1.86003,18122N3_ddec.cif,b0afa223-b45f-486c-bcee-aa9dc59fe0cd,3.4500526528425923,0.009460683897238,-4.2485921092748224,-2.3885607402256825,-5.044267957985109,-1.8488819579831404,3.1885062100000003,1.9705265,False,1.86296973,X-\Gamma,-0.80028938,1.06268035,0.2937184517099215,0.1405814249037463,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/76/05/96eb-aa62-473c-847f-fef511a37769/path,0.6668954491615295,0.6158995880025625,389.0
126070,-2.24999847234612,-0.39323355963294,1.856764,18161N2_ddec.cif,40926fa3-7d59-4245-ac16-3791d5dbdc12,2.876083621565185,0.0019063958293133,-5.126082093911306,-3.2693171811981254,-5.927461627521729,-2.751718962930762,3.184564148,1.84855189,False,1.84748758,R-U,-2.2551919,-0.40770432,0.5147658020526923,0.2856452959912369,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/1a/aa/17f6-5a03-4481-a4a0-d75538ddcd35/path,0.6199251413345337,0.5639734429967403,391.0
126129,-2.57978538984268,-0.76110255791601,1.818682,18160N2_ddec.cif,4036a2d8-0bed-4750-a9c7-7b1f69c945de,2.4021527634781115,7.800212890399151e-05,-4.981938153320792,-3.163255321394121,-5.782380751317377,-2.6429981323014715,3.138599174,1.81858403,False,1.81857978,"(0.000,0.250,0.250)-\Gamma",-2.57982233,-0.76124255,11339.006846137145,0.3651217158519609,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/d1/84/ed38-cb88-4445-927f-1528a95392a6/path,0.7020201086997986,0.6547302503687144,392.0
126101,-2.16973273660183,-1.01580479003788,1.153927,18101N2_ddec.cif,cda9f5e6-d6d2-49f1-b03f-008d33a7cdd0,1.8275054628848888,1.24836842139691e-05,-3.997238199486719,-2.843310252922769,-4.791280247783383,-2.3150320409635428,2.336239889,1.15719572,True,1.15719572,\Gamma-\Gamma,-2.1741475,-1.01695178,0.3473064061267499,0.1088523204015246,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/ac/bf/f3e1-a343-4247-8519-50597ed9b0f2/path,0.6159130334854126,0.5595380176484585,394.0
126169,-1.82506417710616,0.1639424203532299,1.989005,18130N3_ddec.cif,2ee0017d-02d6-4445-ac4d-8b87adb12b24,3.264934513275185,0.0008840944885681,-5.089998690381345,-3.1009920929219548,-5.891143681868823,-2.579173964691508,3.344179035,1.99633326,False,1.99001776,Z-\Gamma,-1.82636745,0.16365031,7.338174599761263,1.0243224399842816,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/88/48/8c29-79f8-4ddb-b7d0-58098aa072c6/path,0.6381668448448181,0.5841398286443948,395.0
126109,-3.77252685959826,-2.48125209772171,1.291274,18142N3_ddec.cif,8510cd02-a744-4acc-9f05-c6d2309c1e07,0.5762658749189259,7.377277442811755e-05,-4.348792734517186,-3.057517972640636,-5.145119887291548,-2.5346099482147366,2.5020177180000003,1.26260304,False,1.2626014199999998,"Y-(0.000,0.425,0.425)",-3.74431725,-2.48171583,0.4945052591555453,21959.96822913569,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/15/b1/2c23-5c75-41d6-ab2f-3b47e04e12cc/path,0.5598065257072449,0.4975117122346162,396.0
