MOF,kh_co2,kh_n2,kh_sel,pq_co2,pq_n2,iast_b_co2,iast_b_n2,iast_b_sel,t_sel_co2/n2,t_sel_co2/h2o,t_sel_n2/h2o,water_resistance
RSM4072,4.92E-05,2.25E-06,21.86666667,2.027318406,0.213363581,0.126226582,0.153412375,18.22333462,39.68889053,0.744147579,0.018749518,0.975555703
RSM4079,0.00032447,7.63E-06,42.52555701,6.437758622,0.682254213,,,,,,,
RSM4082,9.20E-06,2.19E-06,4.200913242,0.973941394,0.222007342,0.03203124,0.186377886,3.806420673,3.845786418,2.38719705,0.620730532,0.928535228
RSM4092,0.000589483,6.75E-06,87.33081481,2.113281289,0.500392226,0.663643337,0.217177005,67.67968325,150.3392298,0.001744865,1.16E-05,0.00780827
RSM4098,8.33E-05,4.69E-06,17.76119403,5.447992392,0.427816509,0.240704844,0.326963215,16.30509582,20.67194066,0.020993146,0.001015538,0.441653059
RSM4109,0.000564434,6.04E-06,93.44933775,4.091173395,0.478638946,0.889144607,0.250509085,78.61154601,112.0371336,0.000845232,7.54E-06,0.004039231
RSM4117,0.000118403,4.42E-06,26.78800905,2.448216546,0.385943281,0.262604366,0.253947055,22.90320085,29.30130038,0.035562338,0.001213678,0.307419368
RSM4119,0.00256435,6.86E-06,373.8119534,0.838442385,0.375594712,0.686206191,0.053720999,282.9097866,17.11361615,0.067035606,0.003917092,0.097393336
RSM4127,0.000109946,6.43E-06,17.09891135,6.747833891,0.629882383,0.302395438,0.477432127,14.02816983,15.81536979,0.093148684,0.005889757,0.884820795
RSM4133,0.00011469,4.43E-06,25.88939052,2.727049096,0.385002382,0.278159718,0.26671924,23.09815611,30.24518597,0.045330872,0.00149878,0.403617401
RSM4136,0.000794543,4.56E-06,174.241886,1.71519194,0.317514873,0.729356219,0.101627399,158.9521101,120.0062443,0.001223097,1.02E-05,0.003875016
RSM4144,0.000737331,6.89E-06,107.0146589,5.463304275,0.591789864,0.815113209,0.302076728,59.76378325,140.6111524,0.000596775,4.24E-06,0.004924238
RSM4160,8.01E-05,3.17E-06,25.2681388,2.548340942,0.29161892,0.191958012,0.205819177,20.65655176,37.96134013,0.001697617,4.47E-05,0.040816617
RSM4167,1.32E-05,7.77E-07,16.98841699,1.048894521,0.074752717,0.038031243,0.058409466,14.42097777,19.22905724,0.009570053,0.000497687,0.462531577
RSM4175,0.000287805,6.32E-06,45.53876582,6.086988832,0.593389256,0.531354273,0.379729559,30.99182792,47.46879626,0.012828542,0.000270252,0.221692913
