MOF,Molecule,Uptake_sat [mol/kg],Henry [mol/kg/Pa],Heat_henry [kJ/mol],Uptake_des [mol/kg],Heat_des [kJ/mol],Uptake_CO2_bin [mol/kg],Uptake_CO2_ter [mol/kg],WRC [-]
594_tfz-d+N586+731_charge,H2O,20.837475,2446490000,-117.6560292,1.277137288,-39.90104,0.994253201,0.383335866,0.385551553
acs.cgd.5b01178_MAHFUZ1419064_clean,H2O,14.3666745,2824.93,-80.93354028,5.266812451,-46.25654,4.095178425,0.038606745,0.009427366
AlTBAPy,H2O,34.7148615,7.60E-06,-16.41390583,0.050970488,-17.27765084,0.25622209,0.241009209,0.940626193
AlTCPP,H2O,35.7346185,1.36E-05,-19.48137665,0.071151209,-19.69002868,0.34991133,0.309334134,0.884035776
AVIPOL_clean,H2O,30.6871155,281.636,-77.00821346,14.59314804,-49.50609,2.147889093,0.004718641,0.002196874
AZAFIS_clean,H2O,14.80074,937.295,-80.28804861,10.39970192,-53.65245,3.568623046,0.009799377,0.002745983
AZIXUD_clean,H2O,26.235405,280.534,-72.34853967,11.2021852,-47.86262,2.190053474,0.010440323,0.004767154
BABRII,H2O,4.2200868,1.07E-06,-16.37872283,0.010565111,-20.90521,0.08028128,0.072720966,0.905827178
BEPBAB_clean,H2O,17.8013475,8109.01,-82.21123549,12.37872503,-51.78038,3.967845727,0.012980136,0.003271331
BOHWIG,H2O,31.634112,0.000225421,-40.57982124,0.433922254,-32.4448,0.17394993,0.066991749,0.385120873
c6ra01647b_c6ra01647b2_clean,H2O,17.8822665,1922.05,-79.63606318,14.02514667,-56.9683,4.963748905,0.000334153,6.73E-05
CALF20,H2O,13.012641,0.000225167,-34.73290228,0.569080137,-35.39071,0.821720306,0.065740598,0.080003619
CANRUG_clean,H2O,30.0197835,10.9826,-67.01238655,9.175280291,-46.66352,2.079934327,0.018965049,0.0091181
Ca-SQA,H2O,9.8440905,3.87E-05,-30.02241685,0.096463559,-29.20713,1.009636912,0.822339553,0.814490381
CAU10,H2O,15.142953,3.35E-05,-26.40687819,0.114250683,-27.26284494,0.183189019,0.126549212,0.690812214
CAU21,H2O,4.45336995,0.000180173,-45.95935074,0.07462664,-30.53080093,0.144551425,0.082599027,0.571416206
cg8013317_si_003_clean,H2O,22.319991,28.3968,-73.78643083,8.601026064,-45.60847,2.608280031,0.009802988,0.003758411
CIFDOM_clean,H2O,28.6692465,5513.92,-83.59376553,15.35188185,-53.02898,2.803756827,0.010858753,0.00387293
CIFJAE_clean,H2O,21.386037,150.29,-73.04840887,15.07564663,-57.48361,3.73633672,0.000887658,0.000237574
CIJVOH_clean,H2O,25.183791,111.147,-74.32064392,22.17618557,-70.86807,2.906703665,1.49E-05,5.13E-06
CIZMIJ_clean,H2O,42.6968715,1637.97,-79.25148348,11.44386538,-42.78576,3.438129786,0.00713334,0.002074773
CuAlPyC,H2O,10.912743,0.000505066,-38.51298573,0.788471961,-38.140441,0.368501356,0.195402619,0.530262959
CUYYAX_clean,H2O,20.5016445,1675.05,-78.82525187,15.20817725,-55.02331,6.596380866,0.005752674,0.000872096
CUYYEB_clean,H2O,20.657544,1241.85,-78.32258179,15.14555528,-60.03251,6.585854544,0.001943761,0.000295142
DAXNOG_clean,H2O,18.735801,2.81397,-63.02113409,11.81908683,-57.87179,2.72757729,0.00677126,0.002482518
DAZMID,H2O,8.9458785,3.33E-05,-31.63332419,0.106115815,-30.90655351,0.448705719,0.31902307,0.710985077
ddmof_16520,H2O,8.433447,422.265,-83.043081,4.346496605,-53.52185,1.270195619,0.230491918,0.181461748
ddmof_16703,H2O,24.215094,2.21E-05,-25.67940647,0.095244463,-25.65726,0.198648869,0.177123984,0.891643559
ddmof_21502,H2O,11.710722,0.538509,-62.59220868,1.915032625,-40.95077,0.373154023,0.005958926,0.01596908
ddmof_2168,H2O,20.3705535,134467,-100.9177035,15.35122936,-58.17757,1.40044192,0.000338651,0.000241817
ddmof_22214,H2O,22.6654785,2.56729,-69.57107206,1.41746041,-37.91066,0.329695759,0.056083709,0.170107461
ddmof_22243,H2O,17.7912465,0.268158,-61.15527798,1.195199572,-35.5329,0.305499818,0.046153733,0.151076141
ddmof_22389,H2O,8.950596,3.3388,-69.0847447,2.562642498,-45.29492,0.403759431,0.052185384,0.129248707
ddmof_22800,H2O,14.2520115,7.31E-06,-20.17510589,0.042366431,-20.58381,0.245695785,0.188511789,0.767256912
ddmof_22900,H2O,23.464401,6548.4,-86.95148253,17.52949945,-59.61711,1.262598172,0.003237913,0.002564484
ddmof_22908,H2O,21.1236885,0.079403,-57.80986947,1.253758922,-40.05644,0.30003729,0.055708047,0.185670412
ddmof_23350,H2O,19.219983,99.7803,-76.57009724,2.304808966,-43.39536,0.81481487,0.205729661,0.252486385
ddmof_23421,H2O,28.055694,0.324987,-60.36808082,4.547812255,-43.21645,0.371134091,0.018566546,0.050026516
ddmof_23639,H2O,17.968902,1.15883,-66.0421798,1.399495678,-40.92846,0.548534309,0.047943437,0.087402804
ddmof_23741,H2O,17.556981,0.401162,-62.86361107,1.369742107,-39.99857,0.451181227,0.070059728,0.155280681
ddmof_23744,H2O,11.873448,0.605051,-60.04561851,1.456285711,-41.44053437,0.331225686,0.108039107,0.326179736
ddmof_3313,H2O,3.72311205,1.62E-05,-34.34037344,0.023556458,-28.76526,0.116639919,0.089802101,0.769908814
ddmof_6878,H2O,19.5162975,58615400,-114.4751318,14.60029304,-56.55804,1.453369795,0.000421685,0.000290143
ddmof_6949,H2O,20.131959,841043,-103.0449957,14.73196531,-56.42304,1.623315281,0.000623778,0.000384262
ddmof_7975,H2O,17.5117485,2.59245,-71.63644724,2.842703696,-44.8416,0.354866195,0.030317185,0.085432722
DEJRUH_clean,H2O,22.6847925,595.954,-78.04814685,12.34518504,-53.41052,3.799987238,0.004283499,0.00112724
DITTEH_clean,H2O,28.329087,37838.4,-90.56068087,15.38865441,-51.62226,2.609917564,0.001810445,0.000693679
DIWNAA_clean,H2O,57.483015,9.8179,-65.28787741,22.67961402,-49.76666,2.733857339,0.001489524,0.000544843
DOLRAZ_clean,H2O,16.6688145,0.552437,-60.88711789,3.320164757,-43.50193,1.643343192,0.05268416,0.032059134
DUJRAD_clean,H2O,19.5355005,1868.22,-81.00437434,12.33752816,-53.41703,3.40698575,0.001409015,0.000413566
DUXMAL_clean,H2O,18.5015355,63.8388,-71.52159169,8.807551846,-50.35194,3.376308778,0.035900339,0.010633014
ECOGEI_clean,H2O,20.5934415,12.6437,-68.36276548,4.713460674,-44.59545,1.594951886,0.070559159,0.044239052
ESIDOB_clean,H2O,16.5663615,0.000586798,-41.16132367,1.10178654,-36.22997,1.252152837,0.050136292,0.040040074
EXOFIH_clean,H2O,20.082675,0.000723092,-36.00253225,8.457437308,-49.21806,1.649247815,0.002517561,0.00152649
FAHGUU,H2O,28.616244,1.79E-05,-24.72609503,0.087597716,-22.40072,0.163990671,0.100383396,0.612128698
FAHHAB,H2O,28.403124,2.28E-05,-27.11417198,0.111508531,-25.54306,0.166557816,0.13846006,0.831303288
FAHHIJ,H2O,25.4702265,3.32E-05,-28.3319001,0.159805843,-28.10605,0.203542776,0.095262533,0.468022174
FAHHOP,H2O,26.1930585,2.28E-05,-26.52772738,0.109514223,-24.68172,0.187543641,0.110583811,0.589643087
FAHHUV,H2O,25.0946025,9.06E-05,-30.62246058,0.314370596,-29.37582,0.338168581,0.031980409,0.094569429
FECXAO_clean,H2O,28.702824,94.7687,-79.97077675,2.528033464,-43.12917,1.745164038,0.06396797,0.036654417
FEXCES_clean,H2O,26.9086755,4868290,-103.1130792,14.72233498,-53.70146,3.088819208,0.005873946,0.00190168
FEZTIP_clean,H2O,22.232634,13.7077,-66.93714944,11.98568088,-55.18394,3.171299652,0.003240642,0.001021865
FIFNUE_clean,H2O,24.278142,1.0281,-59.97230437,17.77979781,-58.40646,3.658207765,0.001660463,0.000453901
FIFNUE01_clean,H2O,24.1299015,1.75937,-62.47101549,17.35069899,-51.14983,3.631368065,0.000790188,0.000217601
FIFPAM_clean,H2O,23.31222,0.0422082,-52.94323372,16.47537394,-52.80589,3.166004566,0.002153646,0.000680241
FIQCEN,H2O,43.9895775,9.00E-06,-19.18777306,0.061195812,-16.9959,0.146389474,0.135343747,0.924545615
FOJKIA_clean,H2O,19.110093,0.000846051,-36.45879806,6.216515281,-46.29992,1.14278796,0.01103216,0.009653724
FUHMOM_clean,H2O,21.1069275,401.065,-74.6975431,12.26689441,-51.94185,3.833633489,0.010744713,0.002802749
GITTOT02,H2O,28.800615,2.63E-06,-13.82029074,0.027082119,-13.80848,0.056637383,0.052948863,0.934874822
HAFVOB_clean,H2O,24.539658,1.19665,-63.15398299,5.673102201,-48.34911,1.902866937,0.01203996,0.006327274
HAWWOT_clean,H2O,35.1383265,15966000,-101.9942167,22.6279831,-56.34311,3.042893493,0.001549004,0.000509056
HAWWUZ_clean,H2O,34.4918625,3041320,-104.1093115,21.97499962,-57.05767,3.156979996,0.000766679,0.000242852
HEKTAU_clean,H2O,21.214986,1188.86,-81.65005476,13.57719481,-57.27592,3.784922162,0.002546019,0.000672674
ic402058f_si_004_clean,H2O,15.886986,4.28644,-69.81295934,3.669980474,-44.32974,1.410741984,0.14867876,0.105390469
INOMOP01_clean,H2O,23.992983,22.1678,-72.11220035,18.21096797,-60.83301,3.011259533,0.001962223,0.000651629
KAYBIX_clean,H2O,19.288581,0.607132,-58.9908742,13.91566743,-59.27475,3.405407689,0.002771939,0.000813981
KAYBUJ_clean,H2O,19.89342,0.82954,-59.54698402,13.52516323,-57.84611,3.540785916,0.004401595,0.001243112
KEWZET_clean,H2O,20.909403,518.287,-77.41270792,14.34268292,-60.56205,3.056730683,0.001381436,0.000451933
KIFJUF_clean,H2O,36.5018505,707.812,-73.44684576,22.22129976,-55.87975,2.864908308,0.0021008,0.000733287
KIFKEQ_clean,H2O,26.8593915,1760330,-103.325798,12.91609899,-49.57577,4.792003105,0.03220236,0.006720021
KISXIU,H2O,120.479955,4.81E-06,-12.22261979,0.060631842,-10.21212,0.039576175,0.036486706,0.921936147
KIYMIQ_clean,H2O,21.6983355,0.000439106,-36.35875019,0.706345442,-34.74748,1.234761834,0.027195469,0.02202487
LAGNAK_clean,H2O,27.9853755,40182700000,-127.5284666,19.25588232,-55.69585,7.169768344,0.001729831,0.000241267
LAGQER_clean,H2O,20.6350665,33945100,-107.2475141,13.70531265,-57.96628,4.026657548,0.004590644,0.001140063
LAGQOB_clean,H2O,19.946811,2142.2,-81.43161205,11.16767694,-55.26017,2.640267531,0.003066337,0.001161374
LASYOU,H2O,39.7752405,1.01E-05,-18.85183024,0.074599965,-18.31886,0.132654841,0.132820292,1.001247229
LEVNOQ_clean,H2O,27.153264,1729.7,-78.47276216,14.71838063,-50.36659,3.797206769,0.005311436,0.001398774
LEVNOQ01_clean,H2O,25.4202765,3764.69,-80.41799198,13.96409463,-54.19163,3.813750648,0.008964989,0.002350701
LIXWAR_clean,H2O,24.0106875,13980.3,-84.91598275,12.87475465,-49.03922,2.903071751,0.006657695,0.002293328
LIXWAR01_clean,H2O,23.4183915,17733.4,-85.80044115,12.57138394,-53.34404,2.992601412,0.007032728,0.002350038
LUFNEG_clean,H2O,18.1269105,14.3191,-70.56424986,10.55134478,-53.68117,3.92346191,0.029454951,0.007507388
lvt+N174+E27_charge,H2O,2.751468,1.58E-05,-24.55256075,0.124094559,-34.06701,0.719533061,0.58472614,0.812646661
MEHMET,H2O,115.62759,6.14E-06,-15.26363291,0.067881505,-12.10193,0.051713946,0.04687619,0.906451614
MgMOF74,H2O,39.1057995,0.0129316,-47.00416068,22.95157383,-50.96615,0.45409448,0.000472103,0.001039658
MIL-160-Al,H2O,19.753782,0.000165205,-31.26322659,0.304512026,-32.08933742,0.141821792,0.040245907,0.283778021
MIL-96-Al,H2O,13.261614,481.406,-81.33508139,3.874233022,-49.69305696,0.144400878,0.022310948,0.154507011
MUGXIX_clean,H2O,23.879097,135510,-97.46491952,2.04374526,-42.64709,2.357028564,0.230525843,0.097803585
NAWKII_clean,H2O,26.5717905,7727.65,-83.24429811,14.73729922,-53.13617,4.043776002,0.008023937,0.001984268
NEYZAU_clean,H2O,31.924044,15.4528,-68.2987577,18.24733647,-49.57786,6.972040319,0.00463328,0.000664552
NOCKOG_clean,H2O,22.052925,15.057,-69.75210642,14.36621845,-56.54986,3.264078657,0.004135258,0.001266899
NOCKUM_clean,H2O,22.123299,61.6276,-70.05933244,9.526603417,-49.11224,2.630017557,0.004611644,0.001753465
NOCLUN_clean,H2O,26.9830455,22.56,-73.65369482,19.77964426,-54.93755,2.172654845,0.00180003,0.000828493
NOSTUM_clean,H2O,29.8772595,12621,-88.22080136,22.86326514,-69.485,4.374383978,0.002164437,0.000494798
NOSTUM01_clean,H2O,30.7285185,30290.2,-89.10712404,23.59466055,-60.21727,4.315254204,0.002315664,0.000536623
OCACUR_clean,H2O,24.1875105,9649.54,-83.4189397,14.89376855,-53.74021,3.470110466,0.001243006,0.000358204
ONIXOZ,H2O,38.969547,1.42E-05,-20.23443186,0.187305887,-25.67837,0.410077219,0.350515635,0.8547552
ORIWET,H2O,32.481486,0.0017968,-41.92439388,0.985129921,-38.45097,0.151328589,0.006291651,0.041576087
OSAVEK_clean,H2O,26.1416655,34.4741,-77.07576161,20.75011535,-57.4236,2.56449719,0.003443429,0.00134273
OSAVUA_clean,H2O,36.0735015,124.048,-69.97605572,25.4300142,-60.24411,6.070803856,0.003269467,0.000538556
OSAWEL_clean,H2O,18.9093495,64.3586,-71.08569324,11.03024286,-55.00487,3.416538347,0.003029843,0.000886817
OZAVES_clean,H2O,24.4857675,41.9792,-66.98260653,12.43376645,-53.1844,2.86690729,0.002200069,0.000767401
PACYAW_clean,H2O,22.018737,344483000,-118.105799,16.67509072,-62.01413,7.186033673,0.0006862,9.55E-05
PARHAS_clean,H2O,48.8543745,65.8615,-71.92213038,26.81150333,-57.20507,1.322729762,0.001408089,0.001064532
PEQRUZ_clean,H2O,16.9167885,0.00118607,-40.29573393,4.38256767,-46.89846,2.073472918,0.007942485,0.003830522
PITYUN,H2O,12.9406575,7.30E-07,-12.33779815,0.008462329,-11.98686,0.010332457,0.009601103,0.92921784
POMSOB_clean,H2O,19.4508075,39.1125,-68.31230483,8.584150361,-49.2695,2.639859811,0.008781168,0.003326377
PUZKUS_clean,H2O,20.727696,35.5785,-71.20617545,12.76633619,-53.93919,3.647241466,0.002051751,0.000562549
QIWFIN01,H2O,10.1366865,1.31E-05,-24.27829436,0.05034179,-24.04981,1.00206475,0.885189875,0.883365946
RASKIH_clean,H2O,17.0545395,7.25795,-67.79326615,7.706761762,-49.09832,2.738302044,0.015871241,0.005796015
REJLEY_clean,H2O,17.7250905,3.26E-05,-25.59769227,0.217641276,-30.47679,0.625326014,0.115723985,0.185061843
REYPIW_clean,H2O,17.9369895,0.000938941,-39.51058066,2.718248624,-41.25381,0.710571002,0.003677435,0.005175323
RIPKEH,H2O,1.9819827,2.12E-06,-22.09732284,0.014006514,-25.68824,0.044345512,0.023516367,0.5302987
