MOF,Molecule,Uptake_sat [mol/kg],Henry [mol/kg/Pa],Heat_henry [kJ/mol],Uptake_des [mol/kg],Heat_des [kJ/mol],Uptake_CO2_bin [mol/kg],Uptake_CO2_ter [mol/kg],WRC [-]
RSM2297,H2O,44.8946715,0.0262401,-54.32038388,2.345820859,-36.97879,1.236191565,0.121744469,0.098483498
RSM2305,H2O,23.880762,8.79E-05,-39.24729129,0.12657705,-27.58626,0.744525219,0.228300846,0.306639507
RSM2317,H2O,16.1216955,0.00395054,-50.99641452,0.45767369,-36.74769874,0.515543676,0.254194762,0.493061546
RSM2333,H2O,7.745358,0.136696,-61.32331007,3.218132709,-47.34855,1.461738015,0.019350985,0.01323834
RSM2337,H2O,19.179801,0.00259826,-55.11234562,0.806572453,-34.23106,1.398096637,0.120842695,0.086433721
RSM2339,H2O,15.221097,142171000,-108.867254,7.697438018,-51.19463,5.427496514,0.045732702,0.008426114
RSM2343,H2O,13.5154155,0.000398195,-38.70996035,0.665649007,-36.97499,1.577021712,0.056091446,0.035567961
RSM2347,H2O,9.652893,0.0140701,-54.99247123,3.402392645,-50.36169,2.401611523,0.043365694,0.018056914
RSM2357,H2O,1.9783974,7.96E-07,-18.75051626,0.004720712,-18.94408,0.197938786,0.189072057,0.95520469
RSM2360,H2O,21.500256,0.0397965,-55.66045396,3.631051576,-42.646,0.29131822,0.007819094,0.026840389
RSM2366,H2O,17.3355915,0.012097,-49.60465265,6.079742596,-51.58638647,3.4579475,0.035327147,0.010216219
RSM2369,H2O,25.009521,2.18235,-65.75136007,4.390552092,-50.91124,0.949297019,0.018020604,0.018983104
RSM2378,H2O,5.0908152,0.00200852,-49.18287124,0.768333554,-40.38003,0.667679037,0.007608101,0.011394848
RSM2388,H2O,29.2971735,5.29E-05,-30.51030557,0.168122108,-27.72479,0.79056324,0.296241205,0.374721704
RSM2400,H2O,25.313661,4.45E-05,-36.10561405,0.087503705,-25.28642,0.566481406,0.229432351,0.405013031
RSM2401,H2O,16.964241,0.00531056,-50.97006993,1.466342366,-36.24068,1.890483946,0.218240757,0.11544174
RSM2422,H2O,3.2305107,0.00226254,-44.34298792,1.074144843,-46.8987,0.698630825,0.004758609,0.006811335
RSM2423,H2O,7.243083,0.00471211,-49.00368429,4.475184185,-60.82874,0.459374177,0.000574856,0.001251389
RSM2424,H2O,6.478515,4.77E-05,-31.89952647,0.309111789,-32.54702,0.939030801,0.457536639,0.487243484
RSM2425,H2O,7.415688,0.0052191,-49.21859243,4.68941546,-54.17988,0.458603031,0.001438712,0.003137163
RSM2428,H2O,14.188908,0.072915,-62.48947708,1.486671159,-38.83547,1.715125523,0.081905469,0.047754795
RSM2430,H2O,6.3501435,3.04E-05,-30.00061587,0.099206606,-32.55037,0.926794554,0.51364635,0.554218136
RSM2434,H2O,5.661,1.90E-05,-27.87509887,0.055764292,-27.70155,0.823667394,0.701551383,0.851741113
RSM2454,H2O,21.342636,0.000115304,-31.80416316,0.333280773,-31.76017,0.702276202,0.066089848,0.094108056
RSM2459,H2O,5.836158,0.055225,-60.02281502,4.0896472,-60.49032,1.271232337,0.0023374,0.001838688
