,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,alpha,CAPEX,OPEX,CAC,CCC,LCOC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,purity_c,productivity_tea,CO2_avoided,CO2_captured,spec_CO2_emission,SPECCA,var_OPEX,CAPEX_bd,OPEX_bd,CAC_bd,power_output_ccs,CAC_approx_neg,SPECCA_approx_neg,cool_bd,power_bd,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,nCAC,eff_recovery,OPEX_system,nCAC_system,CCC_system,LCOC_system,nCAC_system_bd
0,010_bcg+N131+14_charge,96.63507416,98.72316871,1.659163057,7.243417681,0.109384705,-0.109521954,0.002532115,"[67243.66137953491, 2563.869486196465, 31903.62405779446]","[[449.6683836212616, 2333.0912495531375], [292.6275142003708, 825.8501987272507], [73630.06783438221, 2563.869486196465]]","[824.6089442239264, 516.8174959583387, 6.43923806100633, 4.782840092942333, 205.46300618114557, 91.1063639304935]",351.14625,"[[0, 101.325, 310.15, 0.14269507833713624], [1, 81.76794786251503, 310.15, 0.15571403861086933], [2, 74.76074581446618, 310.15, 0.17009818737957325], [3, 70.0873079999151, 310.15, 0.18127743483330636], [4, 66.93519627198701, 310.15, 0.18969167329536815], [5, 64.78967720325583, 310.15, 0.19588319651643857], [6, 63.31891148347601, 310.15, 0.20036781255060765], [7, 62.305301183241, 310.15, 0.20358063577016142], [8, 61.60400458589488, 310.15, 0.2058648536636682]]",258.9024114,0.086787727,386.8893814,306.3619148,52.87541475,37.49859164,18.34894075,92.30485261,2.485462451,4.145760224,0.425667108,96.26256522,7.243417681,502858.3331,502858.3331,331.0435603,5.371868938,"[0.0, 0, 0.0]","{'ShellAndTubePackedColumn': 121756067.2765408, 'Material': 47323186.7475319, 'VacuumPump': 278727.20303010545, 'DirectContactCooler': 6047023.199679266, 'GenericCondenser': 680602.9819476894, 'IntercooledCondensingCompressor': 45714700.007487856}","{'Fixed': 212349843.42647898, 'Adsorbent': 101533037.08124846, 'npv_CC': 42334479665.71148}","{'CAC_CAPEX': 29.98778720271584, 'CAC_FixedOPEX': 9.921423563325135, 'CAC_VariableOPEX': 13.177206898812805}",600.509662,52.87541475,5.371868938,"{'process': 347.61214441022713, 'VacuumPump': 0.2738106538373155, 'DirectContactCooler': 51.40581677795692, 'GenericCondenser': 49.338570161924075, 'IntercooledCondensingCompressor': 130.46134577303698}","{'process': 0.0, 'VacuumPump': 0.3580804216927655, 'IntercooledCondensingCompressor': 59.10032299670996}",0.098960166,7.69E-05,0.098710944,0.000172352,0.02281912,2.609049341,1.14E-07,1.004570571,0.000309796,1.328634298,0.072735549,1.165403046,0.090495703,1.55E-05,7.71E-05,0.000840954,2.59E-11,1.35E-19,1.59E-11,1.00E-11,8.07E-10,1.66E-10,6.09E-10,3.71E-11,1.63E-09,8.17E-09,0.000200468,0.09159033,53.03256239,88.95350754,2059.413181,66.32168414,59.75847927,59.75847927,"{'CAPEX': 12.332685706802327, 'FixedOPEX': 5.566903945502483, 'VariableOPEX': 48.422094487540775}"
1,014_dmp+N156+20_charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,022_dmp+N276+33_charge,95.72313172,97.87159958,1.371047328,6.213252735,0.119396667,-0.119530867,0.002578325,"[61858.876970584686, 2990.3996789051944, 29000.472882644604]","[[713.5730116365748, 3391.198308297686], [507.29434568787116, 1236.6487680295215], [66929.91309420226, 2990.3996789051944]]","[794.3939495511202, 470.7908874954351, 9.037934363518138, 6.0128045859019075, 195.36947538673635, 113.18284771952871]",390.9087,"[[0, 101.325, 310.15, 0.14269507833713624], [1, 90.6221779347457, 310.15, 0.15914361755754622], [2, 82.83964661832248, 310.15, 0.1737443975003057], [3, 77.13327040816313, 310.15, 0.18630121445215184], [4, 72.91602562342995, 310.15, 0.1968294059902952], [5, 69.77693785825664, 310.15, 0.2054822262012109], [6, 67.4257338138003, 310.15, 0.21248445890534845], [7, 65.65530922104315, 310.15, 0.2180838558066929], [8, 64.3163365429029, 310.15, 0.22252078501001796], [9, 63.30004140410121, 310.15, 0.2260121373769973], [10, 62.52644030290149, 310.15, 0.22874482251785644]]",135.0013109,0.075868719,415.7062767,338.4929073,57.9592878,40.06785983,19.74101396,95.44118864,2.712956354,4.369818891,0.431850042,95.32465678,6.213252735,507814.9585,507814.9585,329.0213118,5.849551996,"[0.0, 0, 0.0]","{'ShellAndTubePackedColumn': 128761983.43702571, 'Material': 55713228.9783807, 'VacuumPump': 458697.1250613698, 'DirectContactCooler': 6047023.199679266, 'GenericCondenser': 675838.0380071229, 'IntercooledCondensingCompressor': 46664011.34443994}","{'Fixed': 227813208.4625096, 'Adsorbent': 119534074.7857188, 'npv_CC': 42751766487.293045}","{'CAC_CAPEX': 32.694938780793144, 'CAC_FixedOPEX': 10.810018122997226, 'CAC_VariableOPEX': 14.68409684172778}",589.135792,57.9592878,5.849551996,"{'process': 383.1189758757747, 'VacuumPump': 0.4510085529750328, 'DirectContactCooler': 51.40581677795692, 'GenericCondenser': 48.795030300248705, 'IntercooledCondensingCompressor': 132.63455704016397}","{'process': 0.0, 'VacuumPump': 0.5890418606613245, 'IntercooledCondensingCompressor': 60.327600144522734}",0.105217158,8.41E-05,0.104945941,0.000187131,0.024745913,2.769886873,1.29E-07,1.070781298,0.00033441,1.42845746,0.078394559,1.245006064,0.105056838,1.65E-05,8.14E-05,0.00088695,2.86E-11,1.43E-19,1.76E-11,1.10E-11,8.70E-10,1.80E-10,6.53E-10,4.23E-11,1.75E-09,8.83E-09,0.000211563,0.09724568,58.16156221,87.57382804,2217.652165,71.18614302,63.69613937,63.69613937,"{'CAPEX': 13.213684736597227, 'FixedOPEX': 5.955348604041314, 'VariableOPEX': 52.01710968286682}"
3,025_dmp+N520+36_charge,23.61577126,30.71465358,0.003963413,0.062955357,15.93543739,-15.93546316,0.011040152,"[225.50272729176532, 729.5500795440373, 97.73235491392626]","[[172.73798235103075, 1066.5769565937705], [8.628152964904427, 67.0829572211465], [225.55556412307408, 729.5500795440373]]","[226.64133159098023, 2.8600259199669558, 3.280488339871986, 5.643271205995297, 105.18475320286578, 109.67279292228022]",492.9561,"[[0, 101.325, 310.15, 0.14269507833713624], [1, 64.85037071142308, 310.15, 0.11524886211652292], [2, 60.63253345230807, 310.15, 0.11169302615122184], [3, 60.08352591205528, 310.15, 0.1112214694783795], [4, 60.01104801163387, 310.15, 0.11115906017556837]]",479.0686575,0.000234857,17485.61639,94388.81514,-171.4011394,4602.585952,4508.002993,4975.516675,362.0883847,365.604192,2.055026733,23.59569472,0.062955357,-7745090.843,304728.684,29598.06919,-5.280256962,"[56251.00713305811, 767585.2155436402, 107966.52729900884]","{'ShellAndTubePackedColumn': 6047124671.285384, 'Material': 3299533203.72381, 'VacuumPump': 16979965.87027363, 'DirectContactCooler': 6047023.199679266, 'GenericCondenser': 78607.44862078805, 'IntercooledCondensingCompressor': 117659532.78143154, 'SteamBoiler': 461513650.3800532, 'ForcedDraughtCoolingTower': 75414688.847944}","{'Fixed': 9387656706.573214, 'Electricity': 4735642149.487419, 'Heat': 64621223429.00404, 'Makeup-water': 9089452144.413078, 'Adsorbent': 7079227967.291793, 'npv_CC': 25654402891.509}","{'CAC_CAPEX': -32.730932865268485, 'CAC_FixedOPEX': -13.998789937340952, 'CAC_VariableOPEX': -124.69894070997692}",285.3815895,491461.2615,15140.16626,"{'process': 30649.693157400725, 'VacuumPump': 16.636464570991738, 'DirectContactCooler': 51.40581677795692, 'GenericCondenser': 2.3005347573512194, 'IntercooledCondensingCompressor': 227.20966184761517}","{'process': 0.0, 'VacuumPump': 21.84038577782331, 'IntercooledCondensingCompressor': 152.11116752129186}",27.12432537,0.006347005,27.11123162,0.006746748,0.820813486,468.4373818,6.12E-06,19.8536187,0.02533922,52.46751101,9.084618619,33.15599152,10.22690086,0.000491051,0.0069716,0.074452559,2.82E-09,4.59E-18,9.01E-10,1.92E-09,3.98E-08,1.39E-08,2.23E-08,6.00E-09,9.82E-08,4.12E-06,0.024505418,1.148534099,-169.9481746,-802.3996039,99635.85468,-180.3886134,4712.53083,4712.53083,"{'CAPEX': -31.723640682130856, 'FixedOPEX': -14.007163713702028, 'VariableOPEX': -134.6578090096529}"
4,027_dmp+N520+39_charge,59.5876833,90.52445082,0.063996119,1.177406201,0.96501631,-0.965053658,0.004143085,"[2999.8939198649086, 2037.2032717298962, 1301.5532370260455]","[[179.57106773889635, 1118.5461183883901], [13.455006452895548, 98.2958108526414], [3003.8422267853343, 2037.2032717298962]]","[195.67251232859704, 18.242100588609667, 3.3746296606386013, 4.247928733646338, 85.66025006203002, 84.14760328367241]",406.1421,"[[0, 101.325, 310.15, 0.14269507833713624], [1, 66.40750422793153, 310.15, 0.11596037231140245], [2, 61.140796611137375, 310.15, 0.11172288589908383], [3, 60.24300475093049, 310.15, 0.11115018741505893], [4, 60.051944560579614, 310.15, 0.11102840415719575]]",348.7228452,0.001375475,2342.230292,9591.195395,-334.5178218,273.0918824,232.4774614,579.3518837,21.92730505,23.77764729,0.705466485,59.51602564,1.177406201,-126854.3893,635568.7832,2474.7435,-16.72188509,"[6071.916255038769, 72531.6120076044, 11654.257328339836]","{'ShellAndTubePackedColumn': 818530286.3818285, 'Material': 367966345.0399965, 'VacuumPump': 2854152.3768284065, 'DirectContactCooler': 6047023.199679266, 'GenericCondenser': 583748.7441060507, 'IntercooledCondensingCompressor': 93499344.4198488, 'SteamBoiler': 43609918.93502157, 'ForcedDraughtCoolingTower': 9689375.14526802}","{'Fixed': 1261600636.5258858, 'Electricity': 511180581.6650123, 'Heat': 6106268607.440055, 'Makeup-water': 981144961.449481, 'Adsorbent': 789480656.8060625, 'npv_CC': 53507065420.581726}","{'CAC_CAPEX': -91.57997842245935, 'CAC_FixedOPEX': -34.129834055703625, 'CAC_VariableOPEX': -209.1967674604875}",334.7852329,51844.78236,2591.618254,"{'process': 3871.3472081457144, 'VacuumPump': 2.796266746129182, 'DirectContactCooler': 51.40581677795692, 'GenericCondenser': 39.24399035797888, 'IntercooledCondensingCompressor': 233.07626126269827}","{'process': 0.0, 'VacuumPump': 3.671223559757391, 'IntercooledCondensingCompressor': 120.87668636759264}",1.417371362,0.000413612,1.416358313,0.000599437,0.078431769,26.23679787,4.92E-07,2.795388745,0.001735696,4.80685982,0.537831015,3.716365201,0.552663604,5.17E-05,0.000460714,0.004958617,1.74E-10,4.66E-19,7.09E-11,1.03E-10,3.24E-09,8.95E-10,2.15E-09,3.16E-10,7.45E-09,2.00E-07,0.001492818,0.228292034,-329.5318049,-37.78231335,14290.47113,-767.4287732,320.3027925,320.3027925,"{'CAPEX': -127.52780495260491, 'FixedOPEX': -56.49215209984287, 'VariableOPEX': -583.4088161005122}"
5,030_dmp+N520+42_charge,62.8704335,73.32115758,0.07441008,2.198801575,0.813771411,-0.813776725,0.004200831,"[2100.2922269688174, 1240.9643098598408, 910.480577972715]","[[334.01871015498773, 1650.6728126138587], [93.21798301520072, 248.05091453681842], [2101.2893894617, 1240.9643098598408]]","[121.8283136680512, 16.466581195405368, 4.686577510824599, 2.571684168801461, 48.65776206802998, 49.44570872498979]",244.5534,"[[0, 101.325, 310.15, 0.14269507833713624], [1, 78.21630883142375, 310.15, 0.18412056918386852], [2, 68.48158667230292, 310.15, 0.20974651826436866], [3, 64.08201142961123, 310.15, 0.22381972375293926], [4, 62.00001366170392, 310.15, 0.23115804751655075], [5, 60.98900495802258, 310.15, 0.2348975362225295], [6, 60.49135445018226, 310.15, 0.23678293638484477]]",227.4690803,0.000495721,1446.57479,5109.962946,-387.8183032,214.691977,165.5124783,354.4275518,18.49068643,20.41143844,0.721309933,62.81715436,2.198801575,95271.32436,492955.5853,1681.765592,-24.4307155,"[3440.241490980613, 37770.978391375116, 6603.098251601887]","{'ShellAndTubePackedColumn': 564578806.320238, 'Material': 152824721.11947486, 'VacuumPump': 5215793.653435167, 'DirectContactCooler': 6047023.199679266, 'GenericCondenser': 503988.88515757106, 'IntercooledCondensingCompressor': 71216123.55154431, 'SteamBoiler': 22709950.325819653, 'ForcedDraughtCoolingTower': 6212301.255624112}","{'Fixed': 780985087.4164655, 'Electricity': 289625971.86155534, 'Heat': 3179851284.6973476, 'Makeup-water': 555899565.0251317, 'Adsorbent': 327889120.3827131, 'npv_CC': 41500790231.686104}","{'CAC_CAPEX': -123.66974536275447, 'CAC_FixedOPEX': -43.36544911263655, 'CAC_VariableOPEX': -221.4773099028512}",360.5626539,29352.34917,1849.058918,"{'process': 2531.9851839790854, 'VacuumPump': 5.122134211316069, 'DirectContactCooler': 51.40581677795692, 'GenericCondenser': 32.05415275210505, 'IntercooledCondensingCompressor': 174.41398509673965}","{'process': 0.0, 'VacuumPump': 6.701725372017691, 'IntercooledCondensingCompressor': 92.06876352202845}",1.062212574,0.000322364,1.061365287,0.000524923,0.073673008,20.61146483,4.50E-07,2.960899137,0.001502518,4.498394383,0.415942064,3.778339821,0.304112498,5.20E-05,0.000388656,0.004213902,1.39E-10,4.64E-19,6.49E-11,7.40E-11,2.86E-09,6.69E-10,2.07E-09,2.00E-10,6.63E-09,1.41E-07,0.001222986,0.259037159,-383.160995,-4.561497926,9523.431056,-4369.841432,271.8590825,271.8590825,"{'CAPEX': -681.2639810458744, 'FixedOPEX': -302.488038818309, 'VariableOPEX': -3386.0894121683027}"
6,036_bcu+N124+36_charge,95.04511906,99.18002526,0.465581632,2.388370457,0.181138115,-0.181555834,0.002547889,"[40359.61394790117, 2351.56027283725, 19545.083454910753]","[[170.1972706730175, 1029.2720751244206], [19.272735132662056, 108.2784255522342], [45107.91056234717, 2351.56027283725]]","[701.7729888813728, 312.97841599510804, 3.225987730736159, 7.185606086580711, 235.07264390489397, 143.31033516405392]",751.06395,"[[0, 101.325, 310.15, 0.14269507833713624], [1, 63.59568607847604, 310.15, 0.13380399845161062], [2, 60.41484088667259, 310.15, 0.13321173327830793], [3, 60.04828241941249, 310.15, 0.13314338399838943], [4, 60.00562524134247, 310.15, 0.13313542869252792]]",721.9079548,0.105618129,639.3107921,630.3827236,102.5376008,60.52896124,33.55134979,116.9905808,4.115858626,5.804883563,0.433570742,94.43083878,2.388370457,498384.0348,498384.0348,377.9224043,9.091784709,"[0.0, 0, 0.0]","{'ShellAndTubePackedColumn': 171104739.0992538, 'Material': 142244109.56491444, 'VacuumPump': 156577.828442211, 'DirectContactCooler': 6047023.199679266, 'GenericCondenser': 685799.8618777933, 'IntercooledCondensingCompressor': 46273050.66754997}","{'Fixed': 347801090.8179437, 'Adsorbent': 305188163.42808664, 'npv_CC': 41957798836.1688}","{'CAC_CAPEX': 55.61976875219851, 'CAC_FixedOPEX': 18.86339560822542, 'CAC_VariableOPEX': 28.41155480129268}",537.8594987,102.5376008,9.091784709,"{'process': 571.113511951105, 'VacuumPump': 0.1534489814452958, 'DirectContactCooler': 51.40581677795692, 'GenericCondenser': 49.93816066885959, 'IntercooledCondensingCompressor': 131.01719809930816}","{'process': 0.0, 'VacuumPump': 0.2013746057379196, 'IntercooledCondensingCompressor': 59.82216311268342}",0.142347049,0.00014428,0.141897197,0.000305571,0.036483261,3.691257745,1.71E-07,1.480537294,0.00044897,2.085010925,0.127745652,1.689897857,0.267367416,2.24E-05,0.000115525,0.00123037,4.28E-11,1.93E-19,2.33E-11,1.95E-11,1.33E-09,3.21E-10,9.16E-10,9.70E-11,2.49E-09,1.31E-08,0.000285618,0.129277131,103.5718363,85.06204139,3078.068823,107.139148,91.88820651,91.88820651,"{'CAPEX': 21.602142357299076, 'FixedOPEX': 9.665106787893514, 'VariableOPEX': 75.87189886530221}"
7,041_dmp+N520+52_charge,94.77286035,97.9421098,0.413457418,3.029583211,0.189054725,-0.189135242,0.002590278,"[29103.22599541372, 1652.3655600645748, 12981.080362030976]","[[346.24729413814435, 1732.3629357039852], [163.47479591710083, 418.47196106824634], [29958.910808641944, 1652.3655600645748]]","[491.3041165878017, 209.54163888706447, 4.873197056506458, 6.086961025187917, 153.164512918093, 117.63780670094985]",609.86835,"[[0, 101.325, 310.15, 0.14269507833713624], [1, 79.32387811377338, 310.15, 0.1781507468377173], [2, 69.48063305876528, 310.15, 0.2009562216328868], [3, 64.7879865529803, 310.15, 0.21415447316697536], [4, 62.45753376245409, 310.15, 0.22141098994425595], [5, 61.272456075152206, 310.15, 0.22530258948354398], [6, 60.661916400511224, 310.15, 0.22736396893227018]]",384.8475875,0.028712342,622.0998302,578.5045971,99.44619675,57.38858919,29.53992197,120.9336483,4.295741514,5.911800537,0.435488702,94.56390592,3.029583211,536787.3862,536787.3862,321.2684644,9.600475923,"[0.0, 0, 0.0]","{'ShellAndTubePackedColumn': 178920393.67016876, 'Material': 120778957.38838379, 'VacuumPump': 468829.5318203686, 'DirectContactCooler': 6047023.199679266, 'GenericCondenser': 667443.8950706904, 'IntercooledCondensingCompressor': 49761758.208464794}","{'Fixed': 338565557.8517559, 'Adsorbent': 259134162.38370442, 'npv_CC': 45190888141.037575}","{'CAC_CAPEX': 54.59578275168307, 'CAC_FixedOPEX': 18.07322784626728, 'CAC_VariableOPEX': 27.154285527970124}",513.1714493,99.44619675,9.600475923,"{'process': 640.8005337054129, 'VacuumPump': 0.46058924268713314, 'DirectContactCooler': 51.40581677795692, 'GenericCondenser': 47.85138653938486, 'IntercooledCondensingCompressor': 140.97610644154432}","{'process': 0.0, 'VacuumPump': 0.6022866748956405, 'IntercooledCondensingCompressor': 64.33239160538602}",0.145620112,0.000132607,0.145200654,0.00028685,0.035708012,3.804240254,1.73E-07,1.498298462,0.000456809,2.061885267,0.124640979,1.724967458,0.21227683,2.28E-05,0.000115211,0.001243322,4.14E-11,1.98E-19,2.37E-11,1.77E-11,1.28E-09,2.92E-10,9.20E-10,7.99E-11,2.48E-09,1.33E-08,0.000292142,0.133332369,100.2736274,83.67976885,3299.919895,105.0590798,89.76036485,89.76036485,"{'CAPEX': 19.59148068097057, 'FixedOPEX': 8.768814481046924, 'VariableOPEX': 76.69878459379376}"
8,045_dmp+N520+57_charge,93.94743707,97.36357194,0.409691644,3.234055255,0.206977993,-0.20703075,0.002617695,"[25389.50309602233, 1673.2568424885415, 11253.640865295458]","[[375.2194246720643, 1832.0739955786728], [167.6376162599308, 407.4194293005824], [25972.169769629698, 1673.2568424885415]]","[456.0496966662985, 182.74278486240192, 5.148049287953112, 6.051086996895808, 145.91399791535835, 116.19377760368924]",536.9364,"[[0, 101.325, 310.15, 0.14269507833713624], [1, 80.47499050500379, 310.15, 0.17868550466034666], [2, 70.5651647932032, 310.15, 0.20312790530552663], [3, 65.59967277419268, 310.15, 0.21810511336840166], [4, 63.01605396481447, 310.15, 0.22681506715945202], [5, 61.6395808830533, 310.15, 0.2317482177106105], [6, 60.89595556215427, 310.15, 0.23450439317814828], [7, 60.491018526964275, 310.15, 0.23603322684031353]]",326.5165491,0.022514838,629.9382226,567.614782,108.5751644,59.35266169,29.50012603,125.2334224,4.702997815,6.320362126,0.440378129,93.75414365,3.234055255,536964.3694,536964.3694,332.4204214,10.86418717,"[0.0, 0, 0.0]","{'ShellAndTubePackedColumn': 190437166.3111333, 'Material': 113180052.97363023, 'VacuumPump': 562186.4929161937, 'DirectContactCooler': 6047023.199679266, 'GenericCondenser': 661950.0573441903, 'IntercooledCondensingCompressor': 50249708.821350306}","{'Fixed': 342771698.7633494, 'Adsorbent': 242830529.92048544, 'npv_CC': 45205787954.13858}","{'CAC_CAPEX': 59.9545226101687, 'CAC_FixedOPEX': 19.63173969967906, 'CAC_VariableOPEX': 29.415639114514853}",495.4232942,108.5751644,10.86418717,"{'process': 701.6627621959751, 'VacuumPump': 0.5524000863417317, 'DirectContactCooler': 51.40581677795692, 'GenericCondenser': 47.24299050683184, 'IntercooledCondensingCompressor': 141.8608258883292}","{'process': 0.0, 'VacuumPump': 0.7221610506224807, 'IntercooledCondensingCompressor': 64.9632179877806}",0.155540233,0.000134955,0.155110284,0.000294994,0.03740103,4.075638054,1.83E-07,1.593350545,0.000489393,2.160642531,0.122927213,1.837998226,0.199717093,2.44E-05,0.000123509,0.001336402,4.31E-11,2.11E-19,2.52E-11,1.79E-11,1.34E-09,2.99E-10,9.74E-10,7.67E-11,2.62E-09,1.36E-08,0.000315293,0.142882234,109.4857599,82.21961926,3485.813074,111.3774423,94.05376892,94.05376892,"{'CAPEX': 20.06476256999541, 'FixedOPEX': 8.979082259404846, 'VariableOPEX': 82.33359742093272}"
9,047_dmp+N520+61_charge,86.08626671,93.73394984,0.228979654,2.436568494,0.310413275,-0.310434948,0.002930863,"[13481.509229233023, 2190.0896453911055, 5871.335671623842]","[[491.88779215644206, 2377.046098166828], [220.61944418995756, 577.6820875458832], [13550.39925862195, 2190.0896453911055]]","[338.31462387753965, 95.31943642562496, 6.502019226755804, 5.737736086740567, 120.4740496612932, 110.28138247712513]",510.11415,"[[0, 101.325, 310.15, 0.14269507833713624], [1, 85.58075309181133, 310.15, 0.16750117016623783], [2, 76.07350630958624, 310.15, 0.18728651343746486], [3, 70.22370108797377, 310.15, 0.20202994655371645], [4, 66.56279880015173, 310.15, 0.21252749817213087], [5, 64.24047920689769, 310.15, 0.2197840457478006], [6, 62.75238504974128, 310.15, 0.22470564491399608], [7, 61.792002838354975, 310.15, 0.22800301552733104], [8, 61.16912976323776, 310.15, 0.23019481985908477]]",92.73773408,0.00549359,855.9100356,934.2981296,229.8055396,84.39339421,42.917626,180.3016544,7.053276198,8.707342338,0.490866149,85.96735434,2.436568494,545039.5664,546623.8213,405.348066,22.46861399,"[677.3090942114251, 0, 1300.007138308978]","{'ShellAndTubePackedColumn': 270843915.2838327, 'Material': 152926162.1064934, 'VacuumPump': 1420584.4190288396, 'DirectContactCooler': 6047023.199679266, 'GenericCondenser': 639642.131395698, 'IntercooledCondensingCompressor': 56240558.274633564, 'ForcedDraughtCoolingTower': 2567871.5949158715}","{'Fixed': 464029890.9944037, 'Electricity': 57021085.634816326, 'Makeup-water': 109444593.30742341, 'Adsorbent': 328106764.4638579, 'npv_CC': 46018994863.01311}","{'CAC_CAPEX': 121.47170244627574, 'CAC_FixedOPEX': 39.37180522724823, 'CAC_VariableOPEX': 69.84457360544839}",386.3682508,229.8055396,22.46861399,"{'process': 1071.0438828358847, 'VacuumPump': 1.3957997606863752, 'DirectContactCooler': 51.40581677795692, 'GenericCondenser': 44.84196104655497, 'IntercooledCondensingCompressor': 153.4349681060242}","{'process': 0.0, 'VacuumPump': 1.8248565612200105, 'IntercooledCondensingCompressor': 72.7082351847809}",0.21857695,0.00018604,0.217982443,0.000408468,0.052184787,5.736211132,2.56E-07,2.236882065,0.000683602,3.038614135,0.193563712,2.579415955,0.265634468,3.43E-05,0.000171118,0.001853406,6.00E-11,2.97E-19,3.54E-11,2.46E-11,1.83E-09,3.77E-10,1.37E-09,1.03E-10,3.66E-09,1.91E-08,0.000438441,0.201225806,233.5544932,73.24586895,5061.646212,169.6975145,132.6055493,132.6055493,"{'CAPEX': 28.941020655705156, 'FixedOPEX': 12.903948194206555, 'VariableOPEX': 127.85254565644588}"
