MOF,Molecule,Uptake_sat [mol/kg],Henry [mol/kg/Pa],Heat_henry [kJ/mol],Uptake_des [mol/kg],Heat_des [kJ/mol],Uptake_CO2_bin [mol/kg],Uptake_CO2_ter [mol/kg],WRC [-]
RSM1245,H2O,3.7998297,5.22E-06,-24.14900586,0.022630796,-24.85639,0.298333401,0.243484759,0.816149843
RSM1250,H2O,35.7462735,9.57E-05,-39.64714776,0.173712501,-32.33264,1.034794424,0.553596326,0.534981937
RSM1253,H2O,23.7703725,0.202014,-57.84827391,4.307852191,-47.06104,0.687674493,0.01771129,0.025755339
RSM1254,H2O,25.355286,0.0188214,-54.48794542,4.160746116,-44.65344,0.595035947,0.041744192,0.070154068
RSM1255,H2O,22.607148,0.492217,-63.12579891,16.15895248,-69.39372,0.722051432,0.001306156,0.001808952
RSM1260,H2O,13.734252,347586000,-114.9291009,12.76551748,-77.90262,4.399508995,0.000237339,5.39E-05
RSM1265,H2O,6.778881,0.000515879,-46.38170058,0.514378906,-37.01705,1.272152294,0.1088294,0.085547462
RSM1269,H2O,7.370289,0.0885764,-66.43998199,1.356457713,-47.18221,0.702199955,0.046493716,0.066211505
RSM1271,H2O,5.4358254,0.000183597,-34.52787101,0.45678056,-35.21703,0.535314239,0.018355292,0.034288816
RSM1274,H2O,6.273054,0.000148759,-33.66564077,0.512986648,-37.24319,0.470930267,0.009387736,0.019934451
RSM1276,H2O,6.239976,2.09E-06,-16.8464404,0.015239166,-18.96546,0.62363559,0.581741815,0.93282331
RSM1279,H2O,26.6191875,0.000120936,-38.24749922,0.405378468,-33.57307,0.658452804,0.080503424,0.122261495
RSM1284,H2O,16.95858,3.08E-06,-16.24553689,0.028606997,-17.80706,0.572241529,0.497066261,0.868630177
RSM1291,H2O,7.6329705,3.33E-06,-17.77746038,0.024222544,-20.45275,0.926491541,0.85626598,0.924202696
RSM1301,H2O,10.0388955,0.776253,-63.62631544,3.554952547,-51.44257,4.476281314,0.629419291,0.140612094
RSM1306,H2O,22.6654785,0.0271694,-52.70638977,7.344758682,-49.54824,0.774645,0.003226262,0.004164826
RSM1315,H2O,27.3533415,0.00148925,-43.66930962,2.271388699,-39.23035,1.232312448,0.021473547,0.017425408
RSM1320,H2O,25.834362,0.392636,-63.42035579,9.362446513,-49.13424,1.50764171,0.012977502,0.008607816
RSM1327,H2O,22.6536015,0.00241405,-42.5373944,9.646621352,-51.96105,1.437459587,0.003478512,0.002419903
RSM1333,H2O,4.5296769,3.95E-05,-34.66329604,0.092938078,-35.82816,0.37442222,0.030282721,0.080878535
RSM1336,H2O,21.9112335,0.000379937,-35.89548771,2.986203997,-44.06468,1.760084315,0.011321547,0.006432389
RSM1339,H2O,5.4803364,0.00132767,-48.53030338,0.480916057,-40.71495,0.927379483,0.693108765,0.747384192
RSM1344,H2O,24.945918,0.000657994,-44.19135726,0.89951665,-34.17592,0.575178829,0.061335195,0.106636739
RSM1351,H2O,7.3591335,0.140525,-61.31343898,3.456662198,-49.0193,2.907150432,0.092051505,0.031663826
RSM1352,H2O,41.773629,8.72E-06,-17.6302951,0.064813545,-17.06059,0.321494426,0.305500622,0.950251689
RSM1361,H2O,6.705288,1409310000,-122.0432398,5.317632071,-60.77527,1.841645543,0.01876411,0.010188774
RSM1362,H2O,6.080247,589.369,-82.4579969,4.636363341,-64.30313,1.352344544,0.000725986,0.000536835
RSM1371,H2O,4.1776626,1.12E-05,-24.30014461,0.076323172,-31.19433,0.863458708,0.311350376,0.360585137
RSM1374,H2O,5.118654,5.33E-06,-20.95500886,0.037253101,-25.23334,0.811536389,0.3538679,0.436046866
RSM1382,H2O,10.0788555,65.4051,-76.70387952,8.01002769,-64.983,3.122658288,0.000993962,0.000318306
RSM1386,H2O,33.672294,0.000999922,-40.52948146,4.010750342,-39.40029,1.517501977,0.009036261,0.005954695
RSM1389,H2O,9.738252,0.000677775,-45.21876538,1.152109595,-42.19639,0.668444894,0.017142984,0.02564607
RSM1391,H2O,28.94658,3.5585,-65.18214217,13.88951264,-47.63382,1.232476094,0.012489894,0.010133985
RSM1404,H2O,21.769209,9.43E-06,-18.13470849,0.070515064,-20.14073,2.886542887,2.23506121,0.774303829
RSM1418,H2O,9.5329575,1.41E-05,-24.86934137,0.061756424,-24.63835,1.382272878,0.722983255,0.523039456
RSM1427,H2O,30.5952075,0.000749835,-39.43800352,1.418233549,-32.137,0.752541145,0.008865526,0.011780786
RSM1431,H2O,28.0876065,0.000402771,-40.10025279,0.855435319,-34.65417,0.700565645,0.058227048,0.083114336
RSM1460,H2O,10.7712735,9.28E-06,-23.21630411,0.051212927,-25.06452,0.672478875,0.526557391,0.783009565
RSM1461,H2O,13.580961,0.000122419,-37.95326917,0.147907759,-31.11249,0.434842715,0.030045177,0.069094355
RSM1469,H2O,42.5836515,1329.89,-75.87277203,19.23751053,-51.92806,1.821833892,0.022531872,0.012367687
RSM1479,H2O,9.394263,0.000125725,-31.2632788,1.378550308,-41.96054,1.016399185,0.014259977,0.014029898
RSM1481,H2O,11.200011,0.000115976,-32.0026896,1.09115667,-39.80208,1.029829737,0.015726733,0.015271197
RSM1488,H2O,6.656559,0.000101782,-32.67512106,0.233128619,-34.08785,0.829963067,0.018502381,0.022293017
RSM1489,H2O,26.6633655,2.1213,-63.71831446,3.489505523,-44.62513,0.575744609,0.009732741,0.016904615
RSM1498,H2O,21.764436,0.106136,-61.67129933,4.91544346,-46.90878,2.191982617,0.033363435,0.015220666
RSM1501,H2O,16.715379,0.0115804,-52.00168759,8.484284634,-54.15926,1.053858284,0.020117543,0.019089419
RSM1509,H2O,19.855014,0.00019265,-35.46342,0.556519233,-34.72685,1.139067476,0.033661476,0.029551784
RSM1516,H2O,6.7898145,3.70E-06,-20.65212392,0.022984607,-21.0667,0.366645168,0.227673426,0.620963935
RSM1521,H2O,13.981782,0.0428224,-65.20112307,2.325600093,-47.3753,0.401808043,0.006149398,0.015304317
RSM1536,H2O,20.019183,0.000304471,-35.96785125,1.406140492,-37.65586,1.194751936,0.004656753,0.003897673
RSM1541,H2O,4.9119276,1.03E-05,-25.28655107,0.046991328,-27.04242,1.030973472,0.967312784,0.938251866
RSM1542,H2O,8.7108915,0.000469608,-39.82910561,1.896204602,-43.00562,0.916746148,0.002817764,0.003073658
RSM1559,H2O,32.7413925,8.67E-05,-30.86743202,0.32496696,-28.08741,1.463748161,0.069375349,0.047395686
RSM1564,H2O,37.3644315,0.000748133,-38.69336589,0.799594733,-34.44043,1.275828575,0.075807369,0.059418146
RSM1568,H2O,21.326874,1.55606,-66.73607396,8.996295998,-52.23743,2.763166418,0.011246898,0.004070293
RSM1576,H2O,9.20745,0.00188917,-43.89603592,2.83279074,-47.72621,1.490305361,0.0197382,0.0132444
RSM1577,H2O,9.120315,0.015012,-53.53617894,2.550180816,-45.57365,2.401276998,0.103538728,0.043118194
RSM1579,H2O,7.174485,10.6812,-74.38617511,6.64971436,-71.5886,1.5759603,0.000541563,0.00034364
RSM1585,H2O,19.910625,5.16799,-62.68050953,11.97614392,-53.88026,3.072011451,0.007733895,0.002517534
RSM1586,H2O,10.432557,0.000625747,-40.70415385,0.845446756,-39.14124,1.218592814,0.013631851,0.011186551
RSM1600,H2O,10.4467095,0.00905955,-47.56425581,4.815404615,-50.15562,1.334982988,0.008331112,0.006240613
RSM1603,H2O,2.0869554,3.50E-05,-33.66094703,0.540172976,-53.03656,0.476453452,0.007503869,0.015749428
RSM1609,H2O,8.8792785,1.29E-05,-26.47450197,0.054844738,-27.45548,0.277907888,0.051520348,0.18538642
RSM1611,H2O,14.8531875,0.00102042,-45.83380714,2.042093947,-44.28191,1.658442123,0.041728559,0.0251613
RSM1614,H2O,13.911186,0.000816584,-40.90969075,1.200285059,-37.39618,1.130317457,0.035212843,0.031153056
RSM1619,H2O,18.420339,2.60E-05,-27.00382198,0.105500312,-25.76157,0.159708204,0.075986849,0.47578551
RSM1627,H2O,17.0999385,0.00158169,-43.12564638,8.757858761,-53.00278,0.924561693,0.013488941,0.014589552
RSM1630,H2O,7.3531395,577.116,-84.20554568,5.196305364,-58.10813,1.726013951,0.00602982,0.003493494
RSM1635,H2O,5.0403879,0.000583624,-45.26266538,0.404603505,-39.82401,0.984596042,0.39536191,0.401547328
RSM1638,H2O,21.8895885,0.000118082,-31.65645137,0.8355588,-33.36365,0.768466179,0.012159473,0.015823042
RSM1639,H2O,7.065039,75.4294,-76.63082934,5.223136763,-58.88739,1.69972711,0.005456923,0.00321047
RSM1640,H2O,20.8585095,0.0134529,-50.32615106,12.4112108,-55.86413,1.2896717,0.013509288,0.010474982
RSM1644,H2O,4.39085475,10.7097,-76.71412846,3.000567494,-53.91344591,1.10016103,0.019384664,0.017619842
RSM1647,H2O,3.6799053,3.10E-06,-19.15321671,0.031007754,-26.82497,0.755420183,0.605786302,0.801919667
RSM1654,H2O,12.525462,1.09E-06,-16.73224717,0.009499242,-13.51847,0.025021286,0.021903488,0.875394168
RSM1657,H2O,19.7248665,1.86E-05,-25.98442223,0.108673377,-26.50565,0.683278214,0.118553574,0.17350703
RSM1663,H2O,19.562196,0.00492509,-43.94743242,7.180569239,-49.91679,3.040971783,0.005787867,0.001903295
RSM1676,H2O,7.14174,0.00330849,-45.54557098,4.508183779,-59.4523,2.210603038,0.025259967,0.011426731
RSM1677,H2O,3.6126171,0.0211369,-54.05663314,1.674252797,-51.70704,0.492581004,0.00065385,0.001327396
RSM1681,H2O,24.0065805,1.21506,-58.93014588,13.13734943,-53.92969,3.355543194,0.00941114,0.002804655
RSM1683,H2O,20.1242445,0.0379992,-51.50359721,6.747810477,-46.97476,2.33099873,0.009002227,0.003861962
RSM1686,H2O,3.3266922,0.0208651,-54.84871372,1.698641829,-49.11611,0.428194541,0.000426983,0.000997169
RSM1694,H2O,3.9378915,0.018318,-52.99573517,2.235736842,-53.54888,0.734865103,0.000225204,0.000306457
RSM1710,H2O,28.595709,1.28E-05,-21.94250055,0.066620115,-20.03432,0.416543365,0.401168008,0.96308822
RSM1718,H2O,12.8168925,1.15E-05,-21.83935004,0.095165477,-26.58122,1.834938277,0.249632613,0.136044147
RSM1724,H2O,17.8988055,2.78E-06,-20.11284638,0.018788781,-17.85548,0.04675558,0.043022552,0.920158666
RSM1728,H2O,16.3136145,9.66391,-76.42615871,5.610375853,-51.92469,0.697479297,0.004848986,0.006952158
RSM1734,H2O,22.9580745,0.00066099,-37.83318212,7.761220362,-51.92981,3.010372979,0.327678379,0.108849761
RSM1738,H2O,84.154095,7.84E-06,-16.87598155,0.06660076,-13.70402,0.281923977,0.266792688,0.946328479
RSM1742,H2O,7.9455465,0.00254723,-49.57467088,1.970777668,-45.55594,1.042085274,0.031448029,0.030177981
RSM1745,H2O,2.6712483,175167,-103.5393407,2.712838166,-82.7745,0.573543534,4.00E-05,6.97E-05
RSM1762,H2O,16.9849425,0.000201621,-34.5139419,0.850628489,-37.18119,2.856191668,0.096440479,0.033765409
RSM1768,H2O,5.3793042,0.00154113,-44.79190094,1.145522832,-43.40184,0.728837942,0.010078564,0.013828264
RSM1769,H2O,7.0196955,3.41E-05,-30.13231984,0.118874394,-32.79491,0.121133992,0.020886979,0.172428721
